_id,id,anio,mun,estratos,sexo,edad,total,total_low,total_upp,dim,nomgeo
1,0,2015,2,Pobreza muy alta,Hombre,12-29,471,142882133722000,799117866278000,Educacion,Azcapotzalco
2,1,2015,2,Pobreza muy alta,Hombre,30-44,704,273873773687000,113412622631000,Educacion,Azcapotzalco
3,2,2015,2,Pobreza muy alta,Hombre,60 y mas,2575,161793608889000,353206391111000,Educacion,Azcapotzalco
4,3,2015,2,Pobreza muy alta,Mujer,30-44,898,467662689091000,132833731091000,Educacion,Azcapotzalco
5,4,2015,2,Pobreza muy alta,Mujer,45-59,1239,660817323638000,181718267636000,Educacion,Azcapotzalco
6,5,2015,2,Pobreza alta,Hombre,30-44,970,533773464004000,140622653600000,Educacion,Azcapotzalco
7,6,2015,2,Pobreza alta,Hombre,45-59,400,879328623108000,712067137689000,Educacion,Azcapotzalco
8,7,2015,2,Pobreza alta,Hombre,60 y mas,879,454297848111000,130370215189000,Educacion,Azcapotzalco
9,8,2015,2,Pobreza alta,Mujer,60 y mas,1593,967311950673000,221868804933000,Educacion,Azcapotzalco
10,9,2015,2,Pobreza moderada,Hombre,30-44,7667,611415530810000,921984469190000,Educacion,Azcapotzalco
11,10,2015,2,Satisfaccion mínima,Mujer,0-11,11630,925259579552000,140074042045000,Educacion,Azcapotzalco
12,11,2015,2,Estrato medio,Mujer,12-29,21780,183169292498000,252430707502000,Educacion,Azcapotzalco
13,12,2015,2,Estrato alto,Hombre,12-29,548,234290259165000,861709740835000,Educacion,Azcapotzalco
14,13,2015,3,Pobreza muy alta,Hombre,12-29,1187,666342897683000,170765710232000,Educacion,Coyoacán
15,14,2015,3,Pobreza muy alta,Hombre,30-44,2004,140578446387000,260221553613000,Educacion,Coyoacán
16,15,2015,3,Pobreza muy alta,Hombre,60 y mas,2784,204871332416000,351928667584000,Educacion,Coyoacán
17,16,2015,3,Pobreza muy alta,Hombre,No especificado,1215,279156212729000,21508437872700,Educacion,Coyoacán
18,17,2015,3,Pobreza muy alta,Mujer,30-44,1988,134727844875000,262872155125000,Educacion,Coyoacán
19,18,2015,3,Pobreza muy alta,Mujer,No especificado,782,408706892325000,115529310767000,Educacion,Coyoacán
20,19,2015,3,Pobreza alta,Hombre,30-44,1369,844044655797000,189395534420000,Educacion,Coyoacán
21,20,2015,3,Pobreza alta,Mujer,0-11,116,113982786123000,220601721388000,Educacion,Coyoacán
22,21,2015,3,Pobreza alta,Mujer,45-59,763,50497632645200,102102367355000,Educacion,Coyoacán
23,22,2015,3,Pobreza moderada,Hombre,0-11,378,190987991373000,565012008627000,Educacion,Coyoacán
