COD_DANE_MUNICIPIO,TOTAL_MATRICULA,DEPARTAMENTO,MUNICIPIO
54520,1142,NORTE DE SANTANDER,PAMPLONITA
25438,1887,CUNDINAMARCA,MEDINA
13160,2315,BOLÍVAR,CANTAGALLO
25612,1885,CUNDINAMARCA,RICAURTE
15533,493,BOYACÁ,PAYA
25736,2650,CUNDINAMARCA,SESQUILÉ
25040,2772,CUNDINAMARCA,ANOLAIMA
47707,6784,MAGDALENA,SANTA ANA
70670,11980,SUCRE,SAMPUES
13670,7862,BOLÍVAR,SAN PABLO
19743,6754,CAUCA,SILVIA
91536,224,AMAZONAS,PUERTO ARICA
76109,80491,VALLE DEL CAUCA,BUENAVENTURA
27580,1782,CHOCÓ,RÍO IRÓ
76828,3434,VALLE DEL CAUCA,TRUJILLO
73449,9337,TOLIMA,MELGAR
5059,571,ANTIOQUIA,ARMENIA
27787,6377,CHOCÓ,TADÓ
8634,7318,ATLÁNTICO,SABANAGRANDE
50686,344,META,SAN JUANITO
5212,13873,ANTIOQUIA,COPACABANA
94343,2360,GUAINÍA,BARRANCO MINAS
76248,11393,VALLE DEL CAUCA,EL CERRITO
5321,1474,ANTIOQUIA,GUATAPE
85430,3375,CASANARE,TRINIDAD
27491,2190,CHOCÓ,NÓVITA
8372,3978,ATLÁNTICO,JUAN DE ACOSTA
13442,14998,BOLÍVAR,MARÍA LA BAJA
25772,3173,CUNDINAMARCA,SUESCA
8832,2507,ATLÁNTICO,TUBARÁ
68169,446,SANTANDER,CHARTA
52427,3272,NARIÑO,MAGÜÍ(PAYAN)
8558,3452,ATLÁNTICO,POLONUEVO
52215,2668,NARIÑO,CÓRDOBA
19256,9618,CAUCA,EL TAMBO
5347,1029,ANTIOQUIA,HELICONIA
54172,3785,NORTE DE SANTANDER,CHINÁCOTA
5390,1656,ANTIOQUIA,LA PINTADA
5440,13857,ANTIOQUIA,MARINILLA
52256,1180,NARIÑO,EL ROSARIO
85410,5970,CASANARE,TAURAMENA
63548,1411,QUINDIO,PIJAO
25658,2070,CUNDINAMARCA,SAN FRANCISCO
97511,964,VAUPÉS,PACOA
